"declarationDate","state","placeCode","disasterNumber","title"
"2011-08-27T21:45:00 -04:00","PR",99033,4017,"HURRICANE IRENE"
"2011-08-27T21:45:00 -04:00","PR",99043,4017,"HURRICANE IRENE"
"2011-08-27T21:45:00 -04:00","PR",99057,4017,"HURRICANE IRENE"
"2011-08-27T21:45:00 -04:00","PR",99089,4017,"HURRICANE IRENE"
"2011-08-27T21:45:00 -04:00","PR",99105,4017,"HURRICANE IRENE"
"2011-08-27T21:45:00 -04:00","PR",99117,4017,"HURRICANE IRENE"
"2011-08-27T21:45:00 -04:00","PR",99129,4017,"HURRICANE IRENE"
"2011-08-27T21:45:00 -04:00","PR",99147,4017,"HURRICANE IRENE"
"2011-09-03T16:15:00 -04:00","VA",99101,4024,"HURRICANE IRENE"
"2011-09-03T16:15:00 -04:00","VA",86160,4024,"HURRICANE IRENE"
"2011-09-09T22:15:00 -04:00","TX",99105,4029,"WILDFIRES"
"2011-09-09T22:15:00 -04:00","TX",99231,4029,"WILDFIRES"
"2012-03-09T21:20:00 -05:00","IN",99077,4058,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES"
"2012-03-16T00:00:00 -04:00","TN",99065,4060,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND "
"2012-03-16T00:00:00 -04:00","TN",99139,4060,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND "
"2012-07-03T16:00:00 -04:00","FL",99071,4068,"TROPICAL STORM DEBBY"
"2012-07-06T13:05:00 -04:00","MN",99035,4069,"SEVERE STORMS AND FLOODING"
"2012-07-06T13:05:00 -04:00","MN",99061,4069,"SEVERE STORMS AND FLOODING"
"2012-07-06T13:05:00 -04:00","MN",99115,4069,"SEVERE STORMS AND FLOODING"
"2012-07-27T11:00:00 -04:00","VA",99005,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-07-27T11:00:00 -04:00","VA",99015,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-07-27T11:00:00 -04:00","VA",99023,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-07-27T11:00:00 -04:00","VA",99037,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-07-27T11:00:00 -04:00","VA",35624,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
